,package_id,centroid_latitude,centroid_longitude
2085,ess-dive-0c4579ec3e4bbad-20240812T151357277,43.0795,-71.0359
2086,ess-dive-0c4579ec3e4bbad-20240812T151357277,33.6053,-86.7497
2087,ess-dive-0c4579ec3e4bbad-20240812T151357277,32.8457,-87.6614
2088,ess-dive-0c4579ec3e4bbad-20240812T151357277,44.6407,-68.4455
2089,ess-dive-0c4579ec3e4bbad-20240812T151357277,30.1983,-92.4631
2090,ess-dive-0c4579ec3e4bbad-20240812T151357277,40.6652,-111.846
2091,ess-dive-0c4579ec3e4bbad-20240812T151357277,43.7156,-72.4188
2092,ess-dive-0c4579ec3e4bbad-20240812T151357277,40.9899,-96.209
2093,ess-dive-0c4579ec3e4bbad-20240812T151357277,31.1356,-96.8252
2094,ess-dive-0c4579ec3e4bbad-20240812T151357277,44.3677,-72.9689
2095,ess-dive-0c4579ec3e4bbad-20240812T151357277,43.6043,-116.1947
2096,ess-dive-0c4579ec3e4bbad-20240812T151357277,29.9531,-82.9278
2097,ess-dive-0c4579ec3e4bbad-20240812T151357277,39.7678,-94.8625
2098,ess-dive-0c4579ec3e4bbad-20240812T151357277,39.9677,-75.185
2099,ess-dive-0c4579ec3e4bbad-20240812T151357277,30.1896,-92.5902
2100,ess-dive-0c4579ec3e4bbad-20240812T151357277,31.6692,-81.8303
2101,ess-dive-0c4579ec3e4bbad-20240812T151357277,31.4267,-81.6067
2102,ess-dive-0c4579ec3e4bbad-20240812T151357277,39.8443,-105.751
2103,ess-dive-0c4579ec3e4bbad-20240812T151357277,35.8365,-78.7821
2104,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.5371,-122.3793
2105,ess-dive-0c4579ec3e4bbad-20240812T151357277,34.1687,-116.8318
2106,ess-dive-0c4579ec3e4bbad-20240812T151357277,38.149,-121.2993
2107,ess-dive-0c4579ec3e4bbad-20240812T151357277,30.4237,-85.0324
2108,ess-dive-0c4579ec3e4bbad-20240812T151357277,29.9455,-85.0136
2109,ess-dive-0c4579ec3e4bbad-20240812T151357277,46.3766,-90.6412
2110,ess-dive-0c4579ec3e4bbad-20240812T151357277,43.1798,-70.8911
2111,ess-dive-0c4579ec3e4bbad-20240812T151357277,36.0825,-84.5753
2112,ess-dive-e6cd198fcf29aa1-20240809T014837066,69.22999999999999,-148.81
2113,ess-dive-2cda8a5946bc167-20240809T010302393,71.275,-156.55
2114,ess-dive-01cc25692a834b5-20240806T203936441,71.275,-156.55
2115,ess-dive-8810c3ae28f61f2-20240806T203718605,71.275,-156.55
2116,ess-dive-4cb610a35e6046b-20240805T212610226,64.847286,-163.71993600000002
2117,ess-dive-c9d63acb945b39b-20240805T212139631,65.491,-163.665
2118,ess-dive-8b2e92cba135e6f-20240805T164019333,71.275,-156.55
2119,ess-dive-28162760d78a45f-20240802T203417857,64.979781,-166.218477
2120,ess-dive-7ae85691d7e36e0-20240802T152654183,46.976,-121.1579
2121,ess-dive-7ae85691d7e36e0-20240802T152654183,46.9755,-121.1582
2122,ess-dive-7ae85691d7e36e0-20240802T152654183,46.8095,-121.0675
2123,ess-dive-7ae85691d7e36e0-20240802T152654183,46.8099,-121.0672
2124,ess-dive-7ae85691d7e36e0-20240802T152654183,46.9006,-121.2465
2125,ess-dive-7ae85691d7e36e0-20240802T152654183,46.7241,-120.7
2126,ess-dive-7ae85691d7e36e0-20240802T152654183,46.7521,-120.818
2127,ess-dive-7ae85691d7e36e0-20240802T152654183,46.6856,-120.655
2128,ess-dive-7ae85691d7e36e0-20240802T152654183,47.1858,-120.9186
2129,ess-dive-7ae85691d7e36e0-20240802T152654183,47.0171,-121.136
2130,ess-dive-7ae85691d7e36e0-20240802T152654183,47.0195,-121.1285
2131,ess-dive-7ae85691d7e36e0-20240802T152654183,46.6832,-120.9405
2132,ess-dive-7ae85691d7e36e0-20240802T152654183,46.7242,-120.8134
2133,ess-dive-7ae85691d7e36e0-20240802T152654183,46.6213,-121.3025
2134,ess-dive-7ae85691d7e36e0-20240802T152654183,46.989,-121.099
2135,ess-dive-7ae85691d7e36e0-20240802T152654183,47.0821,-120.7329
2136,ess-dive-7ae85691d7e36e0-20240802T152654183,47.3635,-121.1069
2137,ess-dive-3756f32a95161bf-20240801T235223289,9.215,-79.905
2138,ess-dive-7c6673547ecbe7f-20240801T190249811,61.150000000000006,-154.65
2139,ess-dive-db9281d19028c49-20240801T182028412,65.491,-163.665
2140,ess-dive-49b9c0022814572-20240801T180240991,65.491,-163.665
2141,ess-dive-9f98b4f460dccd2-20240801T172512381,64.735492,-165.95039
2142,ess-dive-63322fca9cd00f9-20240726T141653159,71.275,-156.55
2143,ess-dive-50ed5ab8b5abac5-20240726T010430096,71.275,-156.55
2144,ess-dive-05472da112ddcde-20240725T165624713,36.8517,-121.7624
2145,ess-dive-a33de922b1f4f15-20240723T183834412,30.625,-94.485
2146,ess-dive-a33de922b1f4f15-20240723T183834412,30.595,-90.745
