id,lat_lon
nmdc:bsm-13-y2s5yw49,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-xr2vxh14,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-bn7xy734,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-h2xfde47,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-8wbdgs11,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-kbv59d50,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-hrpm2628,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-x70fwn09,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-ddp65a36,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-ybh49n05,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-6k2c1f46,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-smf6g033,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-8kyy6k05,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-ejzgt033,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-2cv2tj30,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-86c1zk13,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-arf84s42,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-hg452k39,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-6p3pkb08,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-zvz59s14,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-fss46f13,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-h5cw6h57,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-c1f8fv85,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-k80gq797,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-d573mh44,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-d49z5h81,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-yvpfes41,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-25fmb123,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-gre72d26,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-2fc16720,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-ekpga968,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-nher1m25,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ed5sns91,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-qrffcr64,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-jyswqd53,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-302b5a66,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-rz68jz92,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-92xxdg53,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-c6g7jb68,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-xttvcf02,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-bgefg837,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ac8q3p77,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-7q44hn24,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-cdt43113,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-7ft8an22,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-xm24hr93,"{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-hvsnrm51,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-9tv9as07,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-dccq0665,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-bc5wy465,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-6v96jy60,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-tya3bn07,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
