biosample_id,latitude,longitude
nmdc:bsm-13-qvf5e055,47.506961,-93.455715
nmdc:bsm-13-tk2ebg43,47.506961,-93.455715
nmdc:bsm-13-gxb7yg84,47.506961,-93.455715
nmdc:bsm-13-pwrd7087,47.506961,-93.455715
nmdc:bsm-13-95fnbw16,47.506961,-93.455715
nmdc:bsm-13-tax21v72,47.506961,-93.455715
nmdc:bsm-13-ncs25r94,47.506961,-93.455715
nmdc:bsm-13-zr9dcy94,47.506961,-93.455715
nmdc:bsm-13-zxqyyz58,47.506961,-93.455715
nmdc:bsm-11-mrymeq51,40.7988,-76.33928
nmdc:bsm-11-kd6btp32,40.8013,-76.34315
nmdc:bsm-13-4bfysc34,47.506961,-93.455715
nmdc:bsm-11-hncxy943,44.230556,-122.191464
nmdc:bsm-11-8s8j4g78,1.435145214,103.7113599
nmdc:bsm-13-t8meze75,47.506961,-93.455715
nmdc:bsm-11-vbchye78,65.16140744,-147.4859707
nmdc:bsm-11-mczws366,65.16112503,-147.4838222
nmdc:bsm-11-p2h9n451,65.16108566,-147.4834878
nmdc:bsm-11-gfghc374,65.16135092,-147.4860143
nmdc:bsm-11-3kpex275,65.16118836,-147.4842821
nmdc:bsm-11-vkyfya78,43.2122,-124.35476
nmdc:bsm-11-3h3w1c57,65.16140989,-147.4864056
nmdc:bsm-11-c6kr7990,40.7974,-76.341766
nmdc:bsm-11-p2gqa640,43.410408,-119.630923
nmdc:bsm-11-z4vyvy45,65.16128615,-147.4856357
nmdc:bsm-11-8r7d4q55,-23.7834,15.0804
nmdc:bsm-11-a1mb8028,65.16117961,-147.4842161
nmdc:bsm-11-p37dc885,65.16121249,-147.4844485
nmdc:bsm-11-2hv7wn93,1.29545,103.763964
nmdc:bsm-11-eq4z3z13,65.16131206,-147.4857871
nmdc:bsm-11-e1wey408,1.435380168,103.7113817
nmdc:bsm-11-khwjc066,65.16115158,-147.4840682
nmdc:bsm-11-e90czr72,-13.773333,-71.071389
nmdc:bsm-11-xm82q819,45.71948,-118.62585
nmdc:bsm-11-pmbpyr59,28.72122816,83.91438789
nmdc:bsm-11-eh777b64,65.16130539,-147.4853712
nmdc:bsm-11-30npyx54,40.8008,-76.34145
nmdc:bsm-11-5p55d563,40.79996,-76.3402666
nmdc:bsm-11-407zcq77,1.435343635,103.7115584
nmdc:bsm-11-5pcpjc96,1.435314,103.711674
nmdc:bsm-11-wm11tw31,44.62691,-123.21072
nmdc:bsm-11-vnzzyc20,65.16124729,-147.4854086
nmdc:bsm-11-6f7spm34,1.29545,103.763964
nmdc:bsm-11-9macc146,65.161071,-147.4834186
nmdc:bsm-11-823zf212,1.294588,103.776828
nmdc:bsm-11-zq2aws57,1.43492266,103.7112946
nmdc:bsm-11-ky8xb849,65.16104591,-147.4832654
nmdc:bsm-11-heazh042,65.16137743,-147.4857944
nmdc:bsm-11-2ah5z651,65.16124063,-147.4846048
nmdc:bsm-11-cp8crw45,28.72122816,83.91438789
nmdc:bsm-11-r4pd6g83,40.8007,-76.34115
nmdc:bsm-11-39qcw250,45.093472,-117.784667
nmdc:bsm-11-h3zgtk70,65.16151055,-147.4854459
nmdc:bsm-11-89q03t84,1.294588,103.776828
nmdc:bsm-11-ctzkss91,-13.773333,-71.071389
nmdc:bsm-11-dkcmr758,65.16146914,-147.4852154
nmdc:bsm-11-r6r22s63,65.16143193,-147.4865656
nmdc:bsm-11-b5sgas28,45.24199,-120.5791
nmdc:bsm-11-anbvsb66,19.389305,-155.2485
nmdc:bsm-11-ysrg0a54,40.80078,-76.3415166
nmdc:bsm-11-snsgsr36,42.311278,-122.983444
nmdc:bsm-11-c9hs3y87,46.3800964,-119.2735649
nmdc:bsm-11-exzatp62,1.294588,103.776828
nmdc:bsm-11-j9v5kc93,65.16098807,-147.4826736
nmdc:bsm-11-yrksyx63,65.16113288,-147.4838976
nmdc:bsm-11-dbr4yn11,65.1612536,-147.4846824
nmdc:bsm-11-tsm65m51,44.226456,-122.163825
nmdc:bsm-11-4b8h0j70,19.389305,-155.2485
nmdc:bsm-11-mc6pwt10,-23.2453,16.1433166667
nmdc:bsm-11-1am9vt77,65.16148295,-147.4852923
nmdc:bsm-11-h78mhv15,65.16142545,-147.4860765
nmdc:bsm-11-bx86p094,44.60695,-123.238343
nmdc:bsm-11-48q3sx90,65.16138785,-147.4862457
nmdc:bsm-11-cr68f527,42.237306,-123.654694
nmdc:bsm-11-06pa9m89,1.434767476,103.7112433
nmdc:bsm-11-1302r041,45.47756,-123.84166
nmdc:bsm-11-vg29tb70,46.37176746,-119.2715916
nmdc:bsm-11-915df738,-13.773333,-71.071389
nmdc:bsm-11-cv6r0n34,65.16153816,-147.4855996
nmdc:bsm-11-frjk4h28,-13.773333,-71.071389
nmdc:bsm-11-vy7hej20,65.16131739,-147.4854417
nmdc:bsm-11-72f2yc02,1.294588,103.776828
nmdc:bsm-11-jyywj745,65.16098469,-147.4826055
nmdc:bsm-11-yqbvt475,40.798,-76.341133
nmdc:bsm-11-j7mtz083,65.16166658,-147.4864426
nmdc:bsm-11-jpc5bt66,19.390167,-155.247417
nmdc:bsm-11-zk8a4504,19.388694,-155.249333
nmdc:bsm-11-q72ew015,40.8012,-76.34256666
nmdc:bsm-11-nw1kv312,39.7392,-123.6308
nmdc:bsm-11-v5a4db42,65.16165668,-147.4863661
nmdc:bsm-11-wx2twq61,1.29545,103.763964
nmdc:bsm-11-9jmsx185,39.7392,-123.6308
nmdc:bsm-11-3zrd9503,39.7392,-123.6308
